PS	PF	rep	tens	umid
Linha	80-120	3	1500	0.26
Linha	120-160	1	0.01	0.61
Linha	120-160	2	0.01	0.57
Linha	120-160	3	0.01	0.57
Linha	120-160	1	1	0.59
Linha	120-160	2	1	0.56
Linha	120-160	3	1	0.54
Linha	120-160	1	2	0.54
Linha	120-160	2	2	0.53
Linha	120-160	3	2	0.49
Linha	120-160	1	4	0.44
Linha	120-160	2	4	0.44
Linha	120-160	3	4	0.41
Linha	120-160	1	6	0.38
Linha	120-160	2	6	0.4
Linha	120-160	3	6	0.38
Linha	120-160	1	10	0.35
Linha	120-160	2	10	0.37
Linha	120-160	3	10	0.36
Linha	120-160	1	33	0.3
Linha	120-160	2	33	0.33
Linha	120-160	3	33	0.33
Linha	120-160	1	100	0.29
Linha	120-160	2	100	0.31
Linha	120-160	3	100	0.31
Linha	120-160	1	500	0.28
Linha	120-160	2	500	0.31
Linha	120-160	3	500	0.29
Linha	120-160	1	1500	0.28
Linha	120-160	2	1500	0.3
Linha	120-160	3	1500	0.28
